grnti_id;grnti_name
31.17.39;Экстракционная химия неорганических и комплексных соединений
31.19.00;Аналитическая химия
31.19.15;Анализ неорганических веществ
31.19.29;Анализ органических веществ
31.21.00;Органическая химия
31.21.15;Вопросы строения и стереохимия
31.21.17;Реакционная способность
31.21.18;Механизмы органических реакций
31.21.19;Общие синтетические методы
31.21.21;Алифатические соединения
31.21.23;Алициклические соединения
31.21.25;Ароматические соединения
31.21.27;Гетероциклические соединения
31.21.29;Элементоорганические соединения
31.25.00;Химия высокомолекулярных соединений
31.25.15;Структура и свойства природных и синтетических высокомолекулярных соединений
31.25.17;Общие закономерности процессов образования и превращения макромолекул
31.25.19;Синтез высокомолекулярных соединений
37.00.00;ГЕОФИЗИКА
37.31.00;Физика Земли
37.31.02;Общие проблемы
37.31.15;Физика недр Земли
37.31.19;Сейсмология
37.31.23;Гравиметрия
37.31.31;Современные движения земной коры
38.00.00;ГЕОЛОГИЯ
38.15.00;Литология
38.15.01;Общие вопросы
38.15.03;Методы исследований в литологии
38.15.15;Современные осадки
38.15.17;Седиментогенез
38.15.19;Осадочные породы
38.15.23;Диагенез и последующие изменения
38.15.25;Литология осадочно-метаморфических пород
38.15.27;Фации, формации
38.15.29;Палеогеография (до антропогенового периода)
38.15.91;Региональная литология
38.17.00;Тектоника
38.17.01;Общие вопросы
38.17.03;Методы исследований в тектонике
38.17.15;Тектонические теории и гипотезы
38.17.17;Структурная геология
38.17.19;Тектонофизика
38.17.21;Палеотектонические реконструкции
38.17.23;Сравнительная тектоника
38.17.27;Тектоника дна морей и океанов
38.17.91;Региональная тектоника
38.19.00;Геолого-геофизические исследования глубинного строения Земли
38.19.01;Общие вопросы
38.19.15;Внутреннее строение и происхождение Земли
38.19.17;Землетрясения и сейсмотектоника
38.19.19;Строение земной коры и верхней мантии по геофизическим данным
38.19.27;Палеомагнетизм
38.19.31;Геотермика
38.21.00;Региональная геология
38.21.01;Общие вопросы
38.21.03;Методы геологической съемки
38.21.17;Региональная геология России и других бывших республик СССР
38.21.19;Региональная геология зарубежной Европы
38.21.21;Региональная геология зарубежной Азии
38.21.29;Региональная геология Антарктиды
38.21.31;Геология дна морей и океанов
38.29.00;Стратиграфия
38.29.01;Общие вопросы
38.29.03;Методы исследований в стратиграфии
38.29.15;Геохронология по данным абсолютного возраста
38.29.17;Стратиграфия докембрия
38.29.19;Стратиграфия палеозоя
38.29.21;Стратиграфия мезозоя
38.29.23;Стратиграфия кайнозоя
38.33.00;Геохимия
38.33.01;Общие вопросы
38.33.03;Методы исследования в геохимии
38.33.15;Геохимия отдельных элементов
38.33.17;Геохимия природных процессов
