Responsible for information;№ p/p;Agreement, №;Structural unit 1;Structural unit 2;Name;Leader;Customer;Customer sector;Average cost of the entire contract;Grant;Co-contractor / subcontractor;Financing;Type of work;Service type;type of service;Direction XX.00.00;Direction XX.XX.00;Direction XX.XX.XX;TRL level;Patents (Numbers)
Аксенова Н.В.;;РФФИ-50650/15;НГУ ФФ;ЛНТ;Реализация моделей переходов колебательной энергии в методе прямого статистического моделирования;Бондарь Александр Евгеньевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;280 000,00;Грант;;Бюджетное;НИР;Поиск существующих технологий под решение вызова;Подходы и методы;;;;2;
Аксенова Н.В.;;РФФИ-51260/15;НГУ ФФ;ЛНТ;Реализация поуровневого подхода для расчета неравновесных течений в пакете Ansys Fluent;Кудрявцев Алексей Николаевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;140 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;;;;2;
Аксенова Н.В.;;Задание № 1.12875.2018/12.1;НГУ ММФ;РНОМЦНГУ;Региональный научно-образовательный математический центр;Водопьянов Сергей Константинович;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;40 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;27: МАТЕМАТИКА;"27.21: ГЕОМЕТРИЯ; 
27.23: МАТЕМАТИЧЕСКИЙ АНАЛИЗ; 
27.31: ДИФФЕРЕНЦИАЛЬНЫЕ УРАВНЕНИЯ С ЧАСТНЫМИ ПРОИЗВОДНЫМИ; 
27.37: ВАРИАЦИОННОЕ ИСЧИСЛЕНИЕ И МАТЕМАТИЧЕСКАЯ ТЕОРИЯ ОПТИМАЛЬНОГО УПРАВЛЕНИЯ";"27.21.19: ДИФФЕРЕНЦИАЛЬНАЯ ГЕОМЕТРИЯ; 
27.23.17: ДИФФЕРЕНЦИАЛЬНОЕ И ИНТЕГРАЛЬНОЕ ИСЧИСЛЕНИЕ; 
27.31.17: ЛИНЕЙНЫЕ И КВАЗИЛИНЕЙНЫЕ УРАВНЕ-НИЯ И СИСТЕМЫ УРАВНЕНИЙ; 27.31.21: НЕЛИНЕЙНЫЕ УРАВНЕНИЯ И СИСТЕМЫ УРАВНЕНИЙ; 
27.37.17: МАТЕМАТИЧЕСКАЯ ТЕОРИЯ УПРАВЛЕНИЯ. ОПТИМАЛЬНОЕ УПРАВЛЕНИЕ";3;
Аксенова Н.В.;;РФФИ(И)-00945/16;НГУ ГГФ;ООСНИ;Реконструкция условий генерации рудоносных флюидов в дифференцированных базитовых интрузивных комплексах;Житова Людмила Михайловна;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 759 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;38: ГЕОЛОГИЯ;"38.35: МИНЕРАЛОГИЯ; 
38.49: ГЕОЛОГИЯ РУДНЫХ ПОЛЕЗНЫХ ИСКОПАЕМЫХ; 
38.33: ГЕОХИМИЯ 
";"38.35.19: ВКЛЮЧЕНИЯ В МИНЕРАЛАХ;  
38.49.19: ГЕОЛОГИЯ РУДНЫХ МЕСТОРОЖДЕНИЙ; 
38.33.17: ГЕОХИМИЯ ПРИРОДНЫХ ПРОЦЕССОВ";3;
Аксенова Н.В.;;19-13-50127\19;НГУ ФЕН;НОЦМДЭБТФЕН;Роль смешения и диспергирования в механохимическом синтезе;Болдырев Владимир Вячеславович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;300 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;31.15.19: ХИМИЯ ТВЕРДОГО ТЕЛА;1;
Медных Д.А.;;№ 417-07 от 15.07.2017;ИНГГ СО РАН;Лаб.ГНГ Сибирской платформы;Сбор геологических материалов - результатов геологоразведочных и эксплуатационных работ, проведенных на территории Лено-Вилюйской НГП, Лено-Анабарской НГО и тАнабаро-Хатангской НГО, Лено-Тунгусской НГП за период 2009-2016 гг с целью актуализации эталонных участков;Моисеев Сергей Александрович;ВНИГНИ ФГБУ;Нефть/Газ;4 000 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Медных Д.А.;;№ 418-04 от 28.05.2018;ИНГГ СО РАН;Лаб.ГНГ Сибирской платформы;Сбор геологических материалов - результатов геологоразведочных и эксплуатационных работ, проведенных на территории Лено-Вилюйской НГП, Лено-Анабарской НГО и тАнабаро-Хатангской НГО, Лено-Тунгусской НГП за период 2009-2016 гг с целью актуализации эталонных участков;Моисеев Сергей Александрович;ВНИГНИ ФГБУ;Нефть/Газ;5 000 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Аксенова Н.В.;;19-32-60027;НГУ ФЕН;ЛЭКП;Свойства функциональных оксидных наночастиц, полученных лазерными методами;Костюков Антон Иванович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;8 822 400,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;29: ФИЗИКА;"29.19: ФИЗИКА ТВЕРДЫХ ТЕЛ; 
29.31: ОПТИКА; 
31.15: ФИЗИЧЕСКАЯ ХИМИЯ";"29.19.03: ТЕОРИЯ КОНДЕНСИРОВАННОГО СОСТОЯНИЯ; 
29.19.04: СТРУКТУРА ТВЕРДЫХ ТЕЛ;  
29.31.23: ЛЮМИНЕСЦЕНЦИЯ; 
29.31.27: ВЗАИМОДЕЙСТВИЕ ОПТИЧЕСКОГО ИЗЛУЧЕНИЯ С ВЕЩЕСТВОМ; 
31.15.19: ХИМИЯ ТВЕРДОГО ТЕЛА";3;
Аксенова Н.В.;;19-32-60027;НГУ ФЕН;ЛЭКП;Свойства функциональных оксидных наночастиц, полученных лазерными методами;Костюков Антон Иванович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;8 822 400,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;29: ФИЗИКА;"29.19: ФИЗИКА ТВЕРДЫХ ТЕЛ; 
29.31: ОПТИКА; 
31.15: ФИЗИЧЕСКАЯ ХИМИЯ";"29.19.03: ТЕОРИЯ КОНДЕНСИРОВАННОГО СОСТОЯНИЯ; 
29.19.04: СТРУКТУРА ТВЕРДЫХ ТЕЛ; 
29.31.23: ЛЮМИНЕСЦЕНЦИЯ; 
29.31.27: ВЗАИМОДЕЙСТВИЕ ОПТИЧЕСКОГО ИЗЛУЧЕНИЯ С ВЕЩЕСТВОМ; 
31.15.19: ХИМИЯ ТВЕРДОГО ТЕЛА";3;
Медных Д.А.;;№ 416-04 от 28.03.2016;ИНГГ СО РАН;Лаб.вычислительной физики горных пород;Сейсмологическое моделирование анизотропной среды (упругое решение);Лисица Вадим Викторович;ТННЦ ООО;Научные исследования и разработки;1 874 149,00;Не грант;;Внебюджетное;НИР;Моделирование;Подходы и методы;;;;;
